image_path,label,domain,metadata_path
diseases/plant/tomato_healthy/images/0a86ddc0-4950-4efc-9260-0f16d4db046b___RS_HL 0469.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0caff918-5807-40f2-b9e4-7dd34a7bab5d___RS_HL 0345.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0c8c9c80-b7e0-47a7-81d3-b5a2174e545d___GH_HL Leaf 496.1.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0a334ae6-bea3-4453-b200-85e082794d56___GH_HL Leaf 310.1.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0c4b06d5-4053-44fc-99b6-504934fdd3a9___GH_HL Leaf 199.1.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0cabff41-b00b-4692-98af-6b8b0aeba7aa___RS_HL 9774.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0aacdad5-c9b9-4309-96e3-0797bbed1375___RS_HL 9836.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0a9986e6-b629-4ff5-8aab-7488ea9b935b___RS_HL 9704.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0d70d565-520e-474c-85c1-ab478c9f1d4b___GH_HL Leaf 203.1.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0d2bcda8-8dae-408e-8919-21dfa6cc9eea___RS_HL 0335.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/Tomato_healthy.jpg,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/7d76aa96-b29e-4a60-a3e7-bd489f5a79b2___GH_HL Leaf 176.3.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0bfe260c-a71e-474e-bfb1-78f1e5ca5698___RS_HL 0497.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0cfee8b1-5de4-4118-9e25-f9c37bb6f17e___GH_HL Leaf 252.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0d932b2a-584e-4971-8590-70c5f0a049cf___RS_HL 9739.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0c3eaf2d-8203-441d-9248-1c64e00b5b8b___RS_HL 0018.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/7e0f5a39-e44e-40fe-8486-f369cb59895b___RS_HL 9790.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/7f7b6cff-3d29-45ad-a0df-56f568289be9___GH_HL Leaf 506.1.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/000bf685-b305-408b-91f4-37030f8e62db___GH_HL Leaf 308.1.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/7e3c7e5d-172c-4a25-ad05-2b32e49c7bd2___GH_HL Leaf 387.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0a31e630-0d98-416b-b0e4-88a88aad1dc5___RS_HL 9653.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/00bce074-967b-4d50-967a-31fdaa35e688___RS_HL 0223.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0cb10f98-491d-4e1f-b8ea-4fb0f1b3675f___GH_HL Leaf 333.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0d615a38-cfa4-45e4-b1b4-9977220e19ca___RS_HL 9815.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0b5cfce2-38fd-4984-8926-2d2911c48490___RS_HL 9733.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0b330273-890c-4995-af72-cba070fc0061___GH_HL Leaf 312.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/0a0d6a11-ddd6-4dac-8469-d5f65af5afca___RS_HL 0555.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
diseases/plant/tomato_healthy/images/7e37d8c3-2f62-4a95-b430-34746cb25776___RS_HL 0188.JPG,tomato_healthy,plant,diseases/plant/tomato_healthy/info.json
